SourceFile,Keywords
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-46.jpg,"Custom Pools, Fire Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-47.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-48.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-49.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-50.jpg,"Custom Pools, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-51.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-52.jpg,"Custom Pools, Fire Feature, Freeform Pool"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-53.jpg,"Custom Pools, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-54.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-55.jpg,"Custom Pools, Fire Feature, Geometric Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-56.jpg,"Custom Pools, Outdoor Kitchens, Structures"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-57.jpg,"Custom Pools, Fire Feature, Freeform Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-58.jpg,"Custom Pools, Geometric Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-59.jpg,"Custom Pools, Fire Feature, Geometric Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-60.jpg,"Custom Pools, Freeform Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-61.jpg,"Custom Pools, Geometric Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-62.jpg,"Custom Pools, Geometric Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-63.jpg,"Custom Pools, Geometric Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-64.jpg,"Custom Pools, Geometric Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-65.jpg,"Custom Pools, Fire Feature, Freeform Pool, Landscape, Outdoor Kitchens, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-66.jpg,"Custom Pools, Fire Feature, Freeform Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-67.jpg,"Custom Pools, Fire Feature, Freeform Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-68.jpg,"Custom Pools, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-69.jpg,"Custom Pools, Fire Feature, Freeform Pool, Landscape, Outdoor Kitchens, Structures, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-70.jpg,"Custom Pools, Geometric Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-71.jpg,"Custom Pools, Geometric Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-72.jpg,"Custom Pools, Geometric Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-73.jpg,"Custom Pools, Geometric Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-74.jpg,"Custom Pools, Geometric Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-75.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-76.jpg,"Custom Pools, Geometric Pool, Water Feature"
